state,value
Alabama,41.94
Alaska,25.24
Arizona,30.88
Arkansas,37.42
California,23.54
Colorado,25.48
Connecticut,24.78
Delaware,31.98
District of Columbia,20.44
Florida,30
Georgia,31.48
Hawaii,20.04
Idaho,31.12
Illinois,25.2
Indiana,34.98
Iowa,24.4
Kansas,29.88
Kentucky,41.82
Louisiana,37.08
Maine,31.34
Maryland,25.78
Massachusetts,23.4
Michigan,33.9
Minnesota,22.76
Mississippi,39.28
Missouri,31.64
Montana,28.94
Nebraska,25.04
Nevada,33.52
New Hampshire,26.66
New Jersey,22.7
New Mexico,29.94
New York,21.74
North Carolina,32.26
North Dakota,22.84
Ohio,33.68
Oklahoma,37.98
Oregon,33.42
Pennsylvania,28.26
Rhode Island,29
South Carolina,33.42
South Dakota,22.5
Tennessee,41.64
Texas,27.94
Utah,27.86
Vermont,21.68
Virginia,26.82
Washington,28.74
West Virginia,42.34
Wisconsin,26.86
Wyoming,26.64
