date	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming	
2006	35.52	23.54	25.24	32.04	20.26	21.44	21.4	27.08	17.36	26.08	27.38	16.76	25.42	21.22	30.14	21.78	25.88	37.1	34.46	27.26	21.18	21.92	27.74	19.4	34.28	27.42	25.86	22.78	27.6	23.98	19.7	23.64	18.74	28.04	20.92	28.78	33.8	29.16	23.92	25.22	30.04	20.18	37.3	25.12	26.14	20.56	22.82	26.62	38.74	22.98	25.88	
2007	36.56	24.3	26.3	34.2	20.8	22.36	22.06	28.44	19.12	26.78	28.04	17.16	26	22.18	31.24	21.58	26.58	38.86	34.74	27.68	21.94	22.56	29.06	20.42	35.82	28.36	26.54	23.08	28.48	24.86	20.22	25.34	19.24	28.74	21.62	29.98	35.04	30.26	24.92	26.26	30.34	20.38	38.2	25.92	26.6	20.66	23.54	27.42	39.8	24.08	26.02	
2008	38.18	24.8	27.78	35.2	21.8	22.9	22.96	29.76	18.04	28.08	29.28	18.22	27.36	22.82	32.36	22.32	27.4	40.36	35.34	29.02	22.74	23.02	30.46	21.3	36.88	29.24	27.9	23.52	30.84	25.76	21.02	25.98	20.08	29.58	22.24	31.52	34.62	31.46	25.96	27.1	31.28	21.02	39.54	26.1	27.3	21.26	24.42	28.24	42.08	24.4	26.1	
2009	40.74	24.54	29.72	37	23	24.02	23.42	31.16	18.52	29.86	30.82	19.44	28.92	24.16	34.08	23.3	28.52	41.28	35.98	29.42	23.86	23.72	32.42	22.5	38.74	30.7	28.72	24.06	31.4	26.72	22.12	27.7	21.12	31.14	22.38	33.34	36.14	32.46	27.16	27.76	32.8	22.1	42.04	27.24	27.66	21.4	25.3	29.2	43.16	25.96	26.82	
2010	41.72	25.14	30.8	38.22	23.64	25.1	24.1	32.04	19.34	30.88	31.74	20.26	30.22	25	34.84	23.88	29.46	42.02	36.62	30.86	25.06	23.9	33.48	22.58	39.46	31.62	29.18	24.86	32.84	26.76	22.66	29.68	21.56	32.34	23.32	34	37.54	33.28	28.16	28.8	33.84	22.62	42.42	28.02	27.98	21.6	25.92	29.36	43.02	26.9	27.2	
2011	41.94	25.24	30.88	37.42	23.54	25.48	24.78	31.98	20.44	30	31.48	20.04	31.12	25.2	34.98	24.4	29.88	41.82	37.08	31.34	25.78	23.4	33.9	22.76	39.28	31.64	28.94	25.04	33.52	26.66	22.7	29.94	21.74	32.26	22.84	33.68	37.98	33.42	28.26	29	33.42	22.5	41.64	27.94	27.86	21.68	26.82	28.74	42.34	26.86	26.64	
2012	43.3	24.56	30.16	39.36	23.72	25.58	24.88	30.52	19.84	28	31.66	20.26	30.9	25.58	35.68	26.72	30.42	39.98	37.44	30.84	25.46	23.46	34.02	22.76	40.22	32.12	29.18	25.8	33.42	27.7	22.66	28.94	21.72	33.26	23.16	32.74	39.1	33.04	28.68	29	34.76	23.42	41.2	27.64	27.34	21.46	27.02	27.9	41.9	27.54	27.02	
2013	42.68	24	29.2	39.08	22.78	24.9	24.34	31.02	20.26	27.46	31.16	19.34	30.56	25.28	34.86	26.3	29.86	36.96	36.88	30	24.82	22.94	33.6	22.02	39.8	31.68	28.64	25.6	31.26	26.98	22.58	27.7	20.9	32.56	23	31.8	38.24	31.64	28.48	27.86	34.32	23.88	39.82	27.1	26.56	21.2	26.28	27.14	40.5	26.9	27.4	
2014	41.44	24.5	29.18	39.34	22.18	24.04	24.16	30.52	19.4	26.7	30.22	19.06	29.56	24.6	32.7	26.06	29.48	36.04	36.42	28.96	24.68	21.96	32.78	22	38.66	30.98	27.82	25.32	31.06	26.54	22.1	27.9	20.38	31.56	22.7	31.2	35.66	31.3	27.84	26.74	33.78	23.88	37.98	26.42	25.84	20.7	25.82	26.56	40.06	26.54	27.94	
2015	39.56	23.8	28.04	37.72	20.6	22.54	22.92	28.56	18.24	25.68	28.92	18.16	28.28	23.84	30.48	25.48	28.62	34.86	34.88	27.6	23.4	20.86	30.86	20.46	37.34	29.82	25.7	24.54	29.6	25.06	21.34	27.6	19.96	30.34	21.42	28.88	34.4	29.66	26.72	24.66	32.12	23.3	36.76	24.66	24.62	22.4	24.7	25.24	37.12	25.1	26.28	
2016	38.48	23.66	26.7	36.98	19.82	21.64	21.54	27.48	17.72	25.34	28.44	17.44	27	23.44	29.48	24.42	27.18	33.58	34.4	25.5	22.56	18.92	29.82	19.76	36.22	28.56	25.04	23.96	28.1	22.7	20.8	26.48	19.32	29.12	20.62	27.7	32.98	27.26	25.6	23.56	30.62	22.16	35.1	24.42	23.7	22.68	23.52	24.4	34.32	23.92	25.58	
	35.52	23.54	25.24	32.04	19.82	21.44	21.4	27.08	17.36	25.34	27.38	16.76	25.42	21.22	29.48	21.58	25.88	33.58	34.4	25.5	21.18	18.92	27.74	19.4	34.28	27.42	25.04	22.78	27.6	22.7	19.7	23.64	18.74	28.04	20.62	27.7	32.98	27.26	23.92	23.56	30.04	20.18	35.1	24.42	23.7	20.56	22.82	24.4	34.32	22.98	25.58	16.76
