state,value
Alabama,12.70
Alaska,12.40
Arizona,12.50
Arkansas,13.30
California,9.80
Colorado,12.40
Connecticut,10.60
Delaware,11.80
District of Columbia,9.20
Florida,13.20
Georgia,11.40
Hawaii,9.50
Idaho,12.50
Illinois,10.00
Indiana,12.70
Iowa,11.40
Kansas,12.20
Kentucky,13.20
Louisiana,12.30
Maine,14.20
Maryland,10.10
Massachusetts,10.10
Michigan,11.80
Minnesota,10.20
Mississippi,11.90
Missouri,12.50
Montana,12.30
Nebraska,10.40
Nevada,14.60
New Hampshire,12.30
New Jersey,8.60
New Mexico,13.10
New York,8.80
North Carolina,10.80
North Dakota,9.70
Ohio,12.50
Oklahoma,13.50
Oregon,13.40
Pennsylvania,9.50
Rhode Island,11.50
South Carolina,10.70
South Dakota,11.00
Tennessee,13.00
Texas,11.00
Utah,9.50
Vermont,12.10
Virginia,10.20
Washington,12.30
West Virginia,13.30
Wisconsin,11.00
Wyoming,12.80
