state,value
Alabama,15.7
Alaska,16
Arizona,19
Arkansas,13.8
California,11.3
Colorado,15.4
Connecticut,22.1
Delaware,22
District of Columbia,18.6
Florida,16.2
Georgia,12.7
Hawaii,11.3
Idaho,14.2
Illinois,14.1
Indiana,19.5
Iowa,10.3
Kansas,11.8
Kentucky,29.9
Louisiana,19
Maine,21.2
Maryland,20.9
Massachusetts,25.7
Michigan,20.4
Minnesota,10.6
Mississippi,12.3
Missouri,17.9
Montana,13.8
Nebraska,6.9
Nevada,20.4
New Hampshire,34.3
New Jersey,16.3
New Mexico,25.3
New York,13.6
North Carolina,15.8
North Dakota,8.6
Ohio,29.9
Oklahoma,19
Oregon,12
Pennsylvania,26.3
Rhode Island,28.2
South Carolina,15.7
South Dakota,8.4
Tennessee,22.2
Texas,9.4
Utah,23.4
Vermont,16.7
Virginia,12.4
Washington,14.7
West Virginia,41.5
Wisconsin,15.5
Wyoming,16.4
