date	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2006	8.6	9.8	14.5	10.1	9.8	13.2	11.2	7	14.9	14.3	9	4.7	7.7	10.7	11.6	6.2	9.3	17.2	16.3	11.9	13.5	15.2	11.7	6.1	11.6	12.7	8.3	4.4	18.1	10.5	9.7	21.4	8.9	12	0	13.2	15.6	13.1	13	15.3	12.4	2.7	15.9	9.5	14.9	9.2	8	14	19.8	10.5	9.9
2007	10.9	12.4	16	10.5	11.2	16.5	12.8	7.9	6.6	15.5	10.3	9.7	7.3	9.5	12.8	6.8	9.7	17.5	18.5	11.4	14.4	14.3	12.7	7.1	10.7	12.7	13	2.8	18.6	13.8	8.7	24.7	9.2	12.3	3.1	14.2	19.2	13.5	14.1	10.8	12.4	2.7	16.5	9.6	19.7	7.1	9.4	15.2	21.7	11.6	8.4
2008	13.4	21.2	14.2	13.4	11.3	16.5	11.1	11	6.2	13.4	13.4	8.3	9.5	10.9	13.3	7.7	7.8	18.5	15.2	11.8	12.8	15.2	13.1	8.7	11	13.7	12.5	4.1	18.9	9.1	8.9	28.3	9.5	13.5	5.8	15.5	16.5	13.4	15.1	16.9	12.8	3.9	15.7	8.8	19	9.3	9.6	15.8	24.9	11.5	11.2
2009	13.2	21.5	16.9	12.9	11.8	16.7	11	14	6.2	17.1	11.1	9.2	11	17.1	14.4	6.2	11.8	18.5	13.5	14.1	14.4	13.6	15.1	9.2	10.9	13.6	12.6	4.5	19.8	11.7	2.9	24.1	8.9	13.5	3.5	11	21.3	14.1	15.7	15.1	13.9	3.3	13.6	10.1	19	5.9	9.1	15.5	11.3	11.7	10
2010	11.4	15.3	18.5	12.1	11.8	14.3	10.8	13	10.1	16.8	11.7	11	11.4	10.4	14.8	9	9.4	23.9	13.8	9.9	12	12.3	14.8	8.7	11.2	17.2	11.9	5.5	21.5	11	10.7	24.7	8.7	12.2	3.5	16.4	20.3	14.3	15.7	15.6	14.9	3.3	17.6	10	16.8	8.8	7.5	14.1	27.6	11.5	11.4
2011	11.9	17.7	18.1	12.1	11.9	17.6	10.9	15.6	10.4	15.9	11.4	13.1	12.2	11.3	15.8	9	10.6	25	13	11.6	12.8	14.2	15.1	11.2	9.5	16.4	14.1	5.2	22.8	14.6	12.3	27.2	10.8	13.9	3.5	18	19.4	14.8	18.4	18.1	13.5	5.1	17.6	10.4	19	9.4	10.2	15.2	34.2	12.6	13.7
2012	11.7	15.4	18.8	13.3	11.2	16.7	12.4	14.4	9.6	14.1	11.2	11.1	11.3	13.1	16.2	9.3	11.9	25.4	12.3	11	11.2	13.8	13.9	10.2	9.7	16.2	10.2	7.6	22.2	12.4	14.5	25.6	11.6	13.9	4	18.9	21.1	13.7	19	19.1	12.7	2.9	18.3	9.7	22.3	8	12.7	15.2	30.1	12.6	16.1
2013	12.4	16.7	19.9	10.8	12.4	17.1	16.7	16.4	11.9	13.1	11.5	10	12.9	12.8	17.1	9.6	12.3	23.2	17.4	12.6	15.7	16.9	16.4	10.7	10	17.4	13.6	6	21.4	15	15.2	23.4	12.6	13.5	4.5	20.7	21.3	13	19.3	22.5	13.3	4.3	13.3	9.7	20.5	10.1	10.8	14.8	29.7	15.7	13.6
2014	15.4	17.9	19.3	12.8	12.4	17.8	18.1	18.9	12.1	13.8	12.3	10.1	12.9	13.8	18.7	9.3	12.7	25	17.3	15.8	18.5	19.8	18.5	10.6	11.5	18.2	12.1	6.2	18.8	24.2	14.7	27.2	12.2	14.5	4.5	24.2	21.5	14.4	22	23.6	14.7	5.3	19.9	10.1	21.2	9.1	12.3	14.5	35.4	15.5	14.9
2015	15.7	18	19.8	13.1	12.7	17.4	23.2	17.9	17	16.4	19.8	9.7	13.1	14.8	19.7	10.3	11.6	29.6	19.3	21.8	13.1	25.9	20.7	11.9	11.2	17.9	13.2	5.5	20.9	30.8	16.9	25.9	14.7	16.3	6.2	29.1	19.5	13.5	26	31.1	15.8	5	22.5	10	22.5	13.3	12.9	15.9	39.3	15.8	13.5
2016	16.2	17.3	21.9	14.4	12.6	17.8	28	27.7	38.3	23.5	14	11.8	14.5	19.3	23.9	10.8	10.4	32.7	21.9	25.8	34.8	33.6	24.4	13.2	11.2	22.9	8	5.9	22.7	35.1	23.6	26.4	19.2	19.9	8	37.8	21.8	13.5	36.4	31.5	18.1	6.2	25.2	10.6	21.9	14	17.3	16	48.3	19.3	13.5
