state,value
Alabama,89.30
Alaska,75.60
Arizona,77.40
Arkansas,84.90
California,82.00
Colorado,77.30
Connecticut,87.20
Delaware,85.60
District of Columbia,68.50
Florida,77.90
Georgia,78.80
Hawaii,81.60
Idaho,78.90
Illinois,85.60
Indiana,87.10
Iowa,90.80
Kansas,85.70
Kentucky,88.00
Louisiana,77.50
Maine,87.50
Maryland,87.00
Massachusetts,87.30
Michigan,79.80
Minnesota,81.90
Mississippi,75.40
Missouri,87.80
Montana,86.00
Nebraska,88.90
Nevada,71.30
New Hampshire,88.10
New Jersey,89.70
New Mexico,68.60
New York,79.20
North Carolina,85.60
North Dakota,86.60
Ohio,80.70
Oklahoma,82.50
Oregon,73.80
Pennsylvania,84.80
Rhode Island,83.20
South Carolina,80.30
South Dakota,83.90
Tennessee,87.90
Texas,89.00
Utah,84.80
Vermont,87.70
Virginia,85.70
Washington,78.20
West Virginia,86.50
Wisconsin,88.40
Wyoming,79.30
