date	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2006	81.6	59.6	70	83	83.2	74.1	92.2	84	66.2	68.3	72.3	79.2	88	87.8	76.5	90.8	90.3	83.3	64.8	83.1	85.4	79.9	85.8	90.8	87	85.8	84	88.4	67.5	87.7	92.3	86.8	77	70.3	85.9	86.1	84.6	81.7	88.3	85	73.9	93.2	80.8	80.4	83	85.1	79	70.4	84.6	89.3	81.6
2007	83.1	63	73	86	80.6	75	92.4	81	75.5	69.8	72.3	79.2	88.3	85.9	76.5	90.5	89.7	83.7	65	82	85.2	80.9	75.5	91.2	87	86.2	84.6	88.4	67.5	85.8	92.8	86.8	75	69.4	87.7	86.9	76.6	81.4	89.9	89.2	71.2	88.4	81.8	78	88.2	86	79.4	72.5	84.7	89.6	79.5
2008	85.5	62	74.9	83.4	79.6	71.9	92.6	81.9	75.5	72.8	75.4	80	89.7	86.5	77.8	88.7	89.7	84.5	65	83	85.1	81.2	75.5	91.7	86.8	85.8	82.6	89	67.4	87.9	95.9	60.3	71	70.3	86	84.6	75.5	84	89.3	73	74.9	88.4	82.2	79.1	87.8	85.5	80	77.1	84	89	79
2009	86.7	67	76.1	83.1	78.6	74.6	92.1	85.3	74.7	76.2	78.9	80.3	91.3	87.1	81.5	87.2	89.6	83.9	67.3	80	85.2	81.5	75.2	91.7	86.7	85.4	80.8	89	71.3	90.2	94.3	66.1	74.5	71.8	87.6	83	78.5	85.1	90.2	75.5	73.7	89.2	82.2	80.6	88.2	85.5	81.3	79.2	83.8	89.4	81.4
2010	88	68	78	85	81	72	91	87	76	78	81	80	92	88	84	89	80	77	67	82	87	82	76	92	73	86	80	89	70	85	95	67	76	74	88	84	82	85	91	76	72	89	89	84	90	87	80	83	84	90	80
2011	74	68	78	81	76	74	83	78	59	71	67	80	92	84	86	88	83	77	71	84	83	83	74	77	75	81	82	86	62	86	83	63	77	78	86	80	82	68	83	77	74	83	86	86	76	87	82	76	78	87	80
2012	75	70	76	84	79	75	85	80	59	75	70	81	92	82	86	89	85	86.1	72	85	84	85	76	78	75	84	84	88	63	86	86	70	77	80	87	81	84.8	68	84	77	75	83	87	88	80	88	83	77	79	88	79
2013	80	71.8	75.1	84.9	80.4	76.9	85.5	80.4	62.3	75.6	71.7	82.4	77.3	83.2	87	89.7	85.7	86.1	73.5	86.4	85	85	77	79.8	75.5	85.7	84.4	88.5	70.7	87.3	87.5	70.3	76.8	82.5	87.5	82.2	84.8	68.7	85.5	79.7	77.6	82.7	86.3	88	83	86.6	84.5	76.4	81.4	88	77
2014	86.3	71.1	75.7	86.9	81	77.3	87	87	61.4	76.1	72.5	81.8	77.3	86	87.9	90.5	85.7	87.5	74.6	86.5	86.4	86.1	78.6	81.2	77.6	87.3	85.4	89.7	70	88.1	88.6	68.5	77.8	83.9	87.2	81.8	82.7	72	85.5	80.8	80.1	82.7	87.2	88.3	83.9	87.8	85.3	78.2	84.5	88.6	78.6
2015	89.3	75.6	77.4	84.9	82	77.3	87.2	85.6	68.5	77.9	78.8	81.6	78.9	85.6	87.1	90.8	85.7	88	77.5	87.5	87	87.3	79.8	81.9	75.4	87.8	86	88.9	71.3	88.1	89.7	68.6	79.2	85.6	86.6	80.7	82.5	73.8	84.8	83.2	80.3	83.9	87.9	89	84.8	87.7	85.7	78.2	86.5	88.4	79.3
2016	87.1	76.1	79.5	87	83	78.9	87.4	85.5	69.2	80.7	79.4	82.7	79.7	85.5	86.8	91.3	85.7	88.6	78.6	87	87.6	87.5	79.7	82.2	82.3	89	85.6	89.3	73.6	88.2	90.1	71	80.4	85.9	87.5	83.5	81.6	74.8	86.1	82.8	82.6	83.9	88.5	89.1	85.2	87.7	86.7	79.7	89.8	88.2	80
