state,value
Alabama,4
Alaska,13.3
Arizona,5.5
Arkansas,7.9
California,2.2
Colorado,3.4
Connecticut,6.5
Delaware,3
District of Columbia,6
Florida,2.4
Georgia,2.1
Hawaii,3.2
Idaho,10.5
Illinois,3.1
Indiana,4.5
Iowa,4.9
Kansas,4.1
Kentucky,5
Louisiana,4
Maine,15.2
Maryland,4.9
Massachusetts,5
Michigan,3.6
Minnesota,4.3
Mississippi,6.1
Missouri,3.6
Montana,8.4
Nebraska,6.8
Nevada,4.4
New Hampshire,3.8
New Jersey,0.7
New Mexico,3.5
New York,4.5
North Carolina,3
North Dakota,4.2
Ohio,4.9
Oklahoma,3.8
Oregon,4.2
Pennsylvania,4.6
Rhode Island,5.9
South Carolina,2.4
South Dakota,5.5
Tennessee,4.4
Texas,1.3
Utah,3.8
Vermont,12.2
Virginia,3.2
Washington,3.9
West Virginia,6.2
Wisconsin,7.4
Wyoming,8.7
