state,value
Alabama,33.5
Alaska,29.7
Arizona,28.9
Arkansas,35.9
California,24.7
Colorado,21.3
Connecticut,26.3
Delaware,30.7
District of Columbia,21.7
Florida,26.2
Georgia,30.5
Hawaii,22.1
Idaho,28.9
Illinois,29.3
Indiana,32.7
Iowa,30.9
Kansas,31.3
Kentucky,31.6
Louisiana,34.9
Maine,28.2
Maryland,29.6
Massachusetts,23.3
Michigan,30.7
Minnesota,27.6
Mississippi,35.5
Missouri,30.2
Montana,26.4
Nebraska,30.2
Nevada,27.7
New Hampshire,27.4
New Jersey,26.9
New Mexico,28.4
New York,27
North Carolina,29.7
North Dakota,32.2
Ohio,32.6
Oklahoma,33
Oregon,27.9
Pennsylvania,30.2
Rhode Island,27
South Carolina,32.1
South Dakota,29.8
Tennessee,31.2
Texas,31.9
Utah,25.7
Vermont,24.8
Virginia,28.5
Washington,27.3
West Virginia,35.7
Wisconsin,31.2
Wyoming,29.5
