state,value
Alabama,16.9
Alaska,10.8
Arizona,14.4
Arkansas,17.2
California,13.3
Colorado,10.9
Connecticut,8.3
Delaware,10.3
District of Columbia,18.3
Florida,12.8
Georgia,14.5
Hawaii,9.9
Idaho,13.4
Illinois,12
Indiana,12.2
Iowa,10.8
Kansas,11.7
Kentucky,16.9
Louisiana,20.2
Maine,12.3
Maryland,8.3
Massachusetts,10.3
Michigan,13.1
Minnesota,9.2
Mississippi,21
Missouri,13.6
Montana,14.6
Nebraska,11
Nevada,11.1
New Hampshire,7.6
New Jersey,8.7
New Mexico,18.4
New York,13.9
North Carolina,14.9
North Dakota,11.6
Ohio,13
Oklahoma,16.4
Oregon,14.1
Pennsylvania,11.9
Rhode Island,11.9
South Carolina,15.6
South Dakota,13.6
Tennessee,15.6
Texas,17.5
Utah,10.5
Vermont,10.4
Virginia,10
Washington,12
West Virginia,18
Wisconsin,10.2
Wyoming,10.6
