state,value
Alabama,142.4
Alaska,63.7
Arizona,80.4
Arkansas,120.9
California,54.4
Colorado,71.2
Connecticut,67.4
Delaware,92.7
District of Columbia,41.1
Florida,73.5
Georgia,86.6
Hawaii,49.4
Idaho,89.2
Illinois,63.7
Indiana,106.3
Iowa,72.2
Kansas,88.7
Kentucky,111.7
Louisiana,112.4
Maine,85.9
Maryland,69
Massachusetts,63
Michigan,98.9
Minnesota,58.3
Mississippi,119.6
Missouri,93.3
Montana,84.2
Nebraska,71.3
Nevada,91.1
New Hampshire,82
New Jersey,58.3
New Mexico,71.4
New York,46.7
North Carolina,96.7
North Dakota,60.1
Ohio,93.1
Oklahoma,123.3
Oregon,94.2
Pennsylvania,81.6
Rhode Island,76.9
South Carolina,103
South Dakota,60.6
Tennessee,127.1
Texas,70
Utah,82.1
Vermont,52.2
Virginia,76.6
Washington,75.2
West Virginia,129
Wisconsin,73.8
Wyoming,81.5
