state,value
Alabama,7.2
Alaska,7
Arizona,7.7
Arkansas,7.2
California,8.9
Colorado,6.9
Connecticut,7.8
Delaware,6.7
District of Columbia,8.5
Florida,7.2
Georgia,8.2
Hawaii,4.9
Idaho,6.1
Illinois,9
Indiana,7.7
Iowa,4.7
Kansas,5.3
Kentucky,8
Louisiana,6.7
Maine,6.6
Maryland,6.6
Massachusetts,6.7
Michigan,8.8
Minnesota,5
Mississippi,8.5
Missouri,6.7
Montana,5.4
Nebraska,3.8
Nevada,9.6
New Hampshire,5.1
New Jersey,8.2
New Mexico,6.9
New York,7.7
North Carolina,8
North Dakota,2.9
Ohio,7.5
Oklahoma,5.3
Oregon,7.9
Pennsylvania,7.4
Rhode Island,9.3
South Carolina,7.6
South Dakota,3.8
Tennessee,7.8
Texas,6.3
Utah,4.6
Vermont,4.4
Virginia,5.7
Washington,7
West Virginia,6.8
Wisconsin,6.7
Wyoming,4.7
